I,1-我,我
Dirt,10-土,土
Wind,11-风,风
Container,12-容器,容器
Lock,13-锁,锁
Food,14-食物,食物
Light,15-光,光
Sugar,16-糖,糖
Salt,17-盐,盐
Source,18-源头,源头
Key,19-钥匙,钥匙
You,2-你,你
Knife,20-刀,刀
Bird,21-鸟,鸟
Plant,22-植物,植物
Salute,23-问候,问候
Deny,24-否定,否定
Open,25-开,开
Close,26-关,关
Look,27-看,看
Listen,28-听,听
Put,29-拿,拿/携
He,3-他,他
Help,30-帮,帮
Front,31-前,前/去往/接近
Back,32-后,后/返回/离开
Like,33-喜,喜欢/爱
Fear,34-畏,害怕/逃避
Want,35-欲,需要/想要
Make,36-作,制作
Rest,37-休息,休息
Heal,38-治疗,治疗
Hurt,39-受伤,受伤
Die,4-死,死
Beautiful,40-美,美丽/美好/优秀
Big,41-大,大
Small,42-小,小
Red,43-红色,红色
Green,44-绿色,绿色
Blue,45-蓝色,蓝色
Dangerous,46-危险,危险
Father,5-父,父/爸爸
Mother,6-母,母/妈妈
Kid,7-子,子/孩子
Water,8-水,水
Fire,9-火,火
